model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,16,256,,,2.3691506385803223,2.3565964698791504,0.2637541799995233,0.1706748859996878,6733.542573631286,10405.748857528157,1.67,5.69,70.65026362038664,1.5453602236477002,0.012554168701171875
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,16,512,,,2.367995023727417,2.360680341720581,0.4533281959993473,0.2756686180000542,3917.691455491458,6442.517878475563,3.85,11.29,65.89902568644818,1.6444679096525168,0.0073146820068359375
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,16,1024,,,2.347944736480713,,0.8710389160005434,,2038.9444918886863,,7.49,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,32,256,,,2.392786026000977,2.383409261703491,0.452000291999866,0.2694432000007509,7858.4020029815665,13182.741297572553,3.02,11.01,72.57039055404178,1.677534604690734,0.009376764297485796
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,32,512,,,2.4011287689208984,,0.8532811490003951,,4162.754567074533,,6.29,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,32,1024,,,2.37956166267395,,1.720614175999799,,2064.379132489732,,14.12,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,64,256,,,2.336447238922119,,0.8438444189996517,,8484.976423127775,,5.73,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,64,512,,,2.3492414951324463,,1.6645266409996111,,4301.523222061588,,12.39,,,,
Gemma3 270M,fourchip_frontier_fsdp4_tp1,fsdp4/tp1,128,256,,,2.276346445083618,,1.6484149969983264,,8774.489449767294,,11.21,,,,
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,256,,,1.7115060091018677,1.6834334135055542,1.0190004609994503,0.1629214760014292,106.96756691659516,669.0339584146892,1.97,1.27,-55.11811023622046,6.254549651824363,0.028072595596313477
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,512,,,1.7115060091018677,1.6932014226913452,1.8938034689999768,0.1653285789998335,57.55613070957013,659.2931522148372,1.98,1.41,-40.42553191489362,11.45478586011366,0.01830458641052246
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,1024,,,1.680458903312683,1.6779624223709106,3.6507156679999753,0.1868543889995635,29.857159503116016,583.3419304924896,2.45,2.31,-6.060606060606055,19.537757114222796,0.002496480941772461
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,2048,,,1.680458903312683,1.6882827281951904,7.155344434999279,0.2227247240007273,15.233368706451513,489.3933553584472,3.3,3.52,6.25,32.12640386963018,-0.007823824882507324
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,4096,,,1.680458903312683,1.6766406297683716,14.178044669999508,0.322492579000027,7.687943051177013,337.992273614429,5.83,6.95,16.115107913669068,43.96394085706488,0.0038182735443115234
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,256,,,1.738515853881836,1.7629128694534302,3.650600825001675,0.1790264779992867,119.43239507699391,2435.393942128142,2.35,2.23,-5.381165919282527,20.391401684259353,-0.02439701557159424
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,512,,,1.746538758277893,1.7600927352905271,7.1533114289995865,0.2201761249998526,60.9507924165656,1980.232870390883,3.06,3.41,10.26392961876833,32.48904225653156,-0.013553977012634055
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,1024,,,1.75415301322937,1.7629128694534302,14.170142357999794,0.3020645990000048,30.76892165122498,1443.399860306017,5.29,6.12,13.56209150326797,46.91096674324146,-0.00875985622406028
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,2048,,,1.7499622106552124,1.7629128694534302,28.216839441000047,0.4887741370002914,15.45176598930059,892.0275583234063,9.05,11.3,19.91150442477876,57.72981282146528,-0.012950658798217773
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,4,4096,,,1.7499622106552124,,54.73185893799928,,7.966109839132352,,15.65,,,,
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,256,,,1.7521789073944092,1.7625832557678225,7.1512481499994465,0.2183275650004361,123.61478464428176,4048.961934780128,3.01,3.35,10.149253731343288,32.75467369402101,-0.010404348373413308
Gemma3 1B,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,8,512,,,1.7509061098098757,1.7596476078033447,14.162654730000211,0.3000108100004581,62.41767640691377,2946.560492265762,5.08,5.91,14.043993231810493,47.20714806902653,-0.008741497993469016
